ShortSelling at 2022-02-18 09:35:00 for 4605.2 under 5 minute data, Reason: empty, Current: ShortSelling
Empty at 2022-02-18 09:56:00 for 4618.4 under 1 minute data, Reason: loss limit, Current: Empty
PutBuying at 2022-02-18 10:15:00 for 4624.0 under 5 minute data, Reason: empty, Current: PutBuying
Empty at 2022-02-18 11:20:00 for 4611.4 under 1 minute data, Reason: loss limit, Current: Empty
ShortSelling at 2022-02-18 11:25:00 for 4613.0 under 5 minute data, Reason: empty, Current: ShortSelling
Empty at 2022-02-18 13:06:00 for 4627.8 under 1 minute data, Reason: loss limit, Current: Empty
PutBuying at 2022-02-18 13:09:00 for 4638.2 under 1 minute data, Reason: exceed restore limit, Current: PutBuying
Empty at 2022-02-21 09:42:00 for 4619.2 under 1 minute data, Reason: loss limit, Current: Empty
ShortSelling at 2022-02-21 09:50:00 for 4613.4 under 5 minute data, Reason: empty, Current: ShortSelling
Empty at 2022-02-21 13:05:00 for 4614.0 under 5 minute data, Reason: MA cross, Current: Empty
PutBuying at 2022-02-21 13:10:00 for 4622.4 under 5 minute data, Reason: empty, Current: PutBuying
Empty at 2022-02-21 13:53:00 for 4609.6 under 1 minute data, Reason: loss limit, Current: Empty
ShortSelling at 2022-02-21 14:00:00 for 4609.6 under 5 minute data, Reason: empty, Current: ShortSelling
Empty at 2022-02-21 14:40:00 for 4623.0 under 1 minute data, Reason: loss limit, Current: Empty
PutBuying at 2022-02-21 14:50:00 for 4628.0 under 5 minute data, Reason: empty, Current: PutBuying
Empty at 2022-02-22 09:31:00 for 4592.0 under 1 minute data, Reason: loss limit, Current: Empty
ShortSelling at 2022-02-22 09:40:00 for 4574.6 under 5 minute data, Reason: empty, Current: ShortSelling
Empty at 2022-02-22 11:30:00 for 4547.8 under 5 minute data, Reason: MA cross, Current: Empty
PutBuying at 2022-02-22 13:15:00 for 4545.6 under 5 minute data, Reason: empty, Current: PutBuying
Empty at 2022-02-22 13:30:00 for 4558.4 under 1 minute data, Reason: profit limit, Current: Empty
ShortSelling at 2022-02-22 14:10:00 for 4547.8 under 5 minute data, Reason: empty, Current: ShortSelling
Empty at 2022-02-22 14:30:00 for 4550.0 under 5 minute data, Reason: MA cross, Current: Empty
PutBuying at 2022-02-22 14:35:00 for 4563.0 under 1 minute data, Reason: exceed restore limit, Current: PutBuying
Empty at 2022-02-23 09:56:00 for 4575.8 under 1 minute data, Reason: profit limit, Current: Empty
PutBuying at 2022-02-23 10:00:00 for 4580.4 under 5 minute data, Reason: empty, Current: PutBuying
Empty at 2022-02-23 10:46:00 for 4590.4 under 1 minute data, Reason: profit limit, Current: Empty
